"no";"dong";"AptName";"code";"buildYear";"jibun";"lat";"lng";"img"
1;" 사직동";"광화문풍림스페이스본(101동~105동)";"11110";"2008";"9";"";"";""
2;" 사직동";"광화문풍림스페이스본(106동)";"11110";"2008";"9-1";"";"";""
3;" 내수동";"경희궁의아침4단지";"11110";"2004";"73";"";"";""
4;" 견지동";"대성스카이렉스";"11110";"2008";"110";"";"";""
5;" 효제동";"포레스트힐시티";"11110";"2017";"65-2";"";"";""
6;" 명륜1가";"송림아마레스아파트";"11110";"2003";"2-12";"";"";""
7;" 명륜2가";"아남1";"11110";"1995";"4";"";"";""
8;" 명륜2가";"아남3";"11110";"1999";"237";"";"";""
9;" 명륜3가";"한빛";"11110";"1999";"1-30";"";"";""
10;" 창신동";"동대문";"11110";"1966";"328-17";"";"";""
11;" 숭인동";"삼전솔하임2차";"11110";"2012";"296-19";"";"";""
12;" 숭인동";"주건축물제1동";"11110";"2013";"1392";"";"";""
13;" 숭인동";"숭인한양LEEPS";"11110";"2014";"1421-2";"";"";""
14;" 숭인동";"종로동광모닝스카이";"11110";"2013";"1421-1";"";"";""
15;" 평창동";"에지앙빌";"11110";"2004";"179-5";"";"";""
16;" 평창동";"롯데낙천대";"11110";"2001";"72";"";"";""
17;" 평창동";"삼성";"11110";"1998";"596";"";"";""
18;" 평창동";"벽산블루밍평창힐스";"11110";"2004";"45";"";"";""
19;" 익선동";"현대뜨레비앙";"11110";"2003";"55";"";"";""
20;" 연건동";"이화에수풀";"11110";"2014";"195-10";"";"";""
21;" 명륜1가";"아마레스";"11110";"2002";"45-5";"";"";""
22;" 창신동";"MID그린(3동)";"11110";"2002";"601-2";"";"";""
23;" 창신동";"성용";"11110";"1994";"640-252";"";"";""
24;" 창신동";"창신쌍용2";"11110";"1993";"703";"";"";""
25;" 숭인동";"삼전솔하임4차";"11110";"2014";"318-2";"";"";""
26;" 평동";"경희궁자이(3단지)";"11110";"2017";"233";"";"";""
27;" 홍파동";"경희궁자이(2단지)";"11110";"2017";"199";"";"";""
28;" 명륜2가";"아남2";"11110";"1996";"236";"";"";""
29;" 창신동";"창신쌍용1";"11110";"1992";"702";"";"";""
30;" 숭인동";"종로중흥S클래스";"11110";"2013";"202-3";"";"";""
31;" 숭인동";"종로유케이201";"11110";"2013";"201-11";"";"";""
32;" 평창동";"롯데캐슬 로잔";"11110";"2009";"108";"";"";""
33;" 평창동";"갑을";"11110";"1997";"595";"";"";""
34;" 무악동";"무악다온채";"11110";"2011";"66-1";"";"";""
35;" 내수동";"경희궁의아침2단지";"11110";"2004";"71";"";"";""
36;" 내수동";"경희궁의아침3단지";"11110";"2004";"72";"";"";""
37;" 인의동";"효성쥬얼리시티";"11110";"2006";"48-2";"";"";""
38;" 동숭동";"동성아파트(1동)";"11110";"1999";"4-161";"";"";""
39;" 창신동";"MID그린(2동)";"11110";"2002";"601-1";"";"";""
40;" 창신동";"MID그린(6동)";"11110";"2002";"601-7";"";"";""
41;" 창신동";"MID그린(4동)";"11110";"2002";"601-5";"";"";""
42;" 창신동";"두산";"11110";"1999";"232";"";"";""
43;" 숭인동";"종로청계힐스테이트";"11110";"2009";"766";"";"";""
44;" 숭인동";"숭인상가";"11110";"1979";"204-11";"";"";""
45;" 교북동";"동아";"11110";"1995";"101";"";"";""
46;" 구기동";"렉스팰리스";"11110";"2005";"95-1";"";"";""
47;" 무악동";"인왕산아이파크";"11110";"2008";"60";"";"";""
48;" 청운동";"청운현대";"11110";"2000";"56-45";"";"";""
49;" 누상동";"청호그린빌";"11110";"1999";"40";"";"";""
50;" 내수동";"세종로대우";"11110";"1994";"167";"";"";""
51;" 명륜3가";"(1-102)";"11110";"1997";"1-102";"";"";""
52;" 창신동";"일우";"11110";"2002";"602";"";"";""
53;" 창신동";"미니";"11110";"1995";"638-36";"";"";""
54;" 창신동";"MID그린(8동)";"11110";"2002";"602-1";"";"";""
55;" 숭인동";"종로센트레빌";"11110";"2008";"2-1";"";"";""
56;" 숭인동";"롯데캐슬천지인";"11110";"2004";"76";"";"";""
57;" 평창동";"일성빌라트";"11110";"1996";"145-5";"";"";""
58;" 무악동";"현대";"11110";"2000";"82";"";"";""
59;" 옥인동";"세종아파트";"11110";"2005";"56";"";"";""
60;" 필운동";"두레엘리시안";"11110";"2007";"174-1";"";"";""
61;" 내수동";"경희궁 파크팰리스";"11110";"2003";"95";"";"";""
62;" 숭인동";"종로아인스빌";"11110";"2013";"1392-1";"";"";""
63;" 숭인동";"하림빌라트";"11110";"1998";"473";"";"";""
64;" 행촌동";"대성맨션";"11110";"1971";"41-1";"";"";""
65;" 무악동";"인왕산2차아이파크";"11110";"2015";"88";"";"";""
66;" 무악동";"경희궁 롯데캐슬";"11110";"2019";"46";"";"";""
67;" 창신동";"MID그린(5동)";"11110";"2002";"601-4";"";"";""
68;" 창신동";"창신이수";"11110";"2003";"23-816";"";"";""
69;" 창신동";"브라운스톤창신";"11110";"2006";"23-76";"";"";""
70;" 창신동";"창림";"11110";"1994";"639-20";"";"";""
71;" 창신동";"MID그린(1동)";"11110";"2002";"601";"";"";""
72;" 숭인동";"버넷하임1";"11110";"2013";"1421";"";"";""
73;" 교북동";"경희궁자이(4단지)";"11110";"2017";"126";"";"";""
74;" 당주동";"롯데미도파광화문빌딩";"11110";"1981";"145";"";"";""
75;" 이화동";"(9-1)";"11110";"2004";"9-1";"";"";""
76;" 연건동";"(60-1)";"11110";"1999";"60-1";"";"";""
77;" 창신동";"동대문맨션";"11110";"1973";"578-5";"";"";""
78;" 숭인동";"동문 (비동,씨동) (494-0)";"11110";"1997";"494";"";"";""
79;" 신영동";"대아파크빌";"11110";"1998";"254";"";"";""
80;" 교남동";"경희궁자이(2단지)";"11110";"2017";"199";"";"";""
81;" 평창동";"형우럭스빌(33-1)";"11110";"2005";"33-1";"";"";""
82;" 명륜1가";"건양하늘터";"11110";"2006";"23";"";"";""
83;" 명륜1가";"(5-89)";"11110";"1995";"5-89";"";"";""
84;" 숭인동";"(204-11)";"11110";"1979";"204-11";"";"";""
85;" 숭인동";"탑스빌";"11110";"2003";"178-76";"";"";""
86;" 명륜1가";"리치캐슬아파트";"11110";"2003";"33-85";"";"";""
87;" 창신동";"그린";"11110";"2002";"23-326";"";"";""
88;" 평창동";"엘리시아";"11110";"2009";"66-1";"";"";""
89;" 부암동";"별빛고운";"11110";"2006";"235-2";"";"";""
90;" 필운동";"신동아블루아광화문의 꿈";"11110";"2007";"254";"";"";""
91;" 충신동";"CS타워";"11110";"2011";"62-2";"";"";""
92;" 회현동1가";"남산 롯데캐슬 아이리스";"11140";"2011";"208";"";"";""
93;" 충무로5가";"충무로엘크루메크로시티2";"11140";"2016";"36-2";"";"";""
94;" 신당동";"신당아르브";"11140";"2014";"160-5";"";"";""
95;" 신당동";"약수하이츠";"11140";"1999";"842";"";"";""
96;" 신당동";"현대";"11140";"1993";"840";"";"";""
97;" 신당동";"신당푸르지오";"11140";"2005";"850";"";"";""
98;" 신당동";"남산리젠트힐";"11140";"2003";"432-1669";"";"";""
99;" 신당동";"래미안하이베르";"11140";"2011";"851";"";"";""
100;" 신당동";"남산타운";"11140";"2002";"844";"";"";""
101;" 신당동";"글로리안(A)";"11140";"2002";"432-986";"";"";""
102;" 흥인동";"청계천 두산위브더제니스";"11140";"2014";"13-1";"";"";""
103;" 황학동";"황학아크로타워";"11140";"2010";"2523";"";"";""
